NO_MUNICIPIO_ESC,MESORREGIAO,PRESENCA
Abadia dos Dourados,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.6923076923076923
Abaeté,CENTRAL MINEIRA,0.7121212121212122
Abre Campo,ZONA DA MATA,0.72
Acaiaca,ZONA DA MATA,0.6
Aguanil,OESTE DE MINAS,0.5
Aimorés,VALE DO RIO DOCE,0.4807692307692308
Aiuruoca,SUL/SUDOESTE DE MINAS,0.36363636363636365
Alagoa,SUL/SUDOESTE DE MINAS,1.0
Albertina,SUL/SUDOESTE DE MINAS,0.375
Alfenas,SUL/SUDOESTE DE MINAS,0.6750700280112045
Alfredo Vasconcelos,CAMPO DAS VERTENTES,0.625
Almenara,JEQUITINHONHA,0.7301587301587301
Alpercata,VALE DO RIO DOCE,1.0
Alpinópolis,SUL/SUDOESTE DE MINAS,0.725
Alterosa,SUL/SUDOESTE DE MINAS,0.6486486486486487
Alto Caparaó,ZONA DA MATA,0.25
Alto Jequitibá,ZONA DA MATA,0.5
Alto Rio Doce,ZONA DA MATA,0.5121951219512195
Alvarenga,VALE DO RIO DOCE,0.625
Alvinópolis,METROPOLITANA DE BELO HORIZONTE,0.5
Alvorada de Minas,METROPOLITANA DE BELO HORIZONTE,0.5714285714285714
Além Paraíba,ZONA DA MATA,0.6282051282051282
Amparo do Serra,ZONA DA MATA,0.4444444444444444
Andradas,SUL/SUDOESTE DE MINAS,0.6099290780141844
Andrelândia,SUL/SUDOESTE DE MINAS,0.6428571428571429
Angelândia,JEQUITINHONHA,0.375
Antônio Carlos,CAMPO DAS VERTENTES,0.625
Antônio Dias,VALE DO RIO DOCE,0.5833333333333334
Antônio Prado de Minas,ZONA DA MATA,0.3333333333333333
Aracitaba,ZONA DA MATA,0.0
Araguari,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.5913705583756346
Arantina,SUL/SUDOESTE DE MINAS,0.8
Araponga,ZONA DA MATA,0.5
Araporã,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.4782608695652174
Arapuá,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.625
Araxá,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.6211764705882353
Araçaí,METROPOLITANA DE BELO HORIZONTE,0.8571428571428571
Araçuaí,JEQUITINHONHA,0.7054794520547946
Araújos,CENTRAL MINEIRA,0.5161290322580645
Arceburgo,SUL/SUDOESTE DE MINAS,0.5454545454545454
Arcos,OESTE DE MINAS,0.5766423357664233
Areado,SUL/SUDOESTE DE MINAS,0.5652173913043478
Argirita,ZONA DA MATA,1.0
